,target,cost_function,seq,node_id,lat,lon
0,Basilika Mariatrost,distance_A*,0,1449,47.0549522,15.4397699
1,Basilika Mariatrost,distance_A*,1,1448,47.0551212,15.4402106
2,Basilika Mariatrost,distance_A*,2,1456,47.0550645,15.4402551
3,Basilika Mariatrost,distance_A*,3,9027,47.0546349,15.4405952
4,Basilika Mariatrost,distance_A*,4,9028,47.0545879,15.4406311
5,Basilika Mariatrost,distance_A*,5,1453,47.0549533,15.4416709
6,Basilika Mariatrost,distance_A*,6,6846,47.0555556,15.4411261
7,Basilika Mariatrost,distance_A*,7,8036,47.0557429,15.4409848
8,Basilika Mariatrost,distance_A*,8,1447,47.0560179,15.4409365
9,Basilika Mariatrost,distance_A*,9,9023,47.0572156,15.4407852
10,Basilika Mariatrost,distance_A*,10,8035,47.0573635,15.44076
11,Basilika Mariatrost,distance_A*,11,7214,47.0575367,15.440735
12,Basilika Mariatrost,distance_A*,12,5758,47.058293,15.4406308
13,Basilika Mariatrost,distance_A*,13,5752,47.0583776,15.4406079
14,Basilika Mariatrost,distance_A*,14,8033,47.0588848,15.4405337
15,Basilika Mariatrost,distance_A*,15,1464,47.0594072,15.4404773
16,Basilika Mariatrost,distance_A*,16,8034,47.0599362,15.4404055
17,Basilika Mariatrost,distance_A*,17,6355,47.0602424,15.4403634
18,Basilika Mariatrost,distance_A*,18,1853,47.0605695,15.4403083
19,Basilika Mariatrost,distance_A*,19,432,47.0612677,15.4401968
20,Basilika Mariatrost,distance_A*,20,1475,47.0618315,15.4401111
21,Basilika Mariatrost,distance_A*,21,1471,47.0624349,15.4400394
22,Basilika Mariatrost,distance_A*,22,5477,47.0625335,15.4400336
23,Basilika Mariatrost,distance_A*,23,5478,47.0627844,15.4401417
24,Basilika Mariatrost,distance_A*,24,6619,47.0628732,15.4401602
25,Basilika Mariatrost,distance_A*,25,6497,47.0632336,15.4402122
26,Basilika Mariatrost,distance_A*,26,7516,47.0634195,15.4412188
27,Basilika Mariatrost,distance_A*,27,7221,47.0637067,15.4428964
28,Basilika Mariatrost,distance_A*,28,1846,47.0641385,15.4426843
29,Basilika Mariatrost,distance_A*,29,9,47.0643071,15.4426604
30,Basilika Mariatrost,distance_A*,30,10,47.064321,15.4426592
31,Basilika Mariatrost,distance_A*,31,195,47.0644558,15.4426864
32,Basilika Mariatrost,distance_A*,32,175,47.0649845,15.4432245
33,Basilika Mariatrost,distance_A*,33,822,47.0657154,15.4443294
34,Basilika Mariatrost,distance_A*,34,827,47.066285,15.4458905
35,Basilika Mariatrost,distance_A*,35,828,47.0664954,15.4461875
36,Basilika Mariatrost,distance_A*,36,179,47.0667605,15.4462725
37,Basilika Mariatrost,distance_A*,37,55,47.0676334,15.4464342
38,Basilika Mariatrost,distance_A*,38,347,47.0680603,15.4468364
